,IAW - WINDSOR PLANT,Forecast1,,,,,Month Remainder,,,,,,,,,,,,
FG1,FG2,FG3,FG4,,,,77%,,,,,,,,,,,,
86628825,-,-,-,,,,,,,,,,,,,,,,
,,,Next Sched Date,,,,-,-,-,-,-,-,-,-,-,-,-,-,
,,,Month end stock,,,,"10,655"," 	4,655  "," 	(1,345) "," 	(7,345) "," 	(13,345) "," 	(19,345) "," 	(25,345) "," 	(31,345) "," 	(37,345) "," 	(43,345) "," 	(49,345) "," 	(55,345) ",
,,,Safety Stock,0,,,Notes,remplacé par 300000638,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Last Line,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
-,-,-,-,,,,,,,,,,,,,,,,
,,FG on  Hand:,0,Actuals vs Forecast,,,,,,,,,,,,,,,
Status: In-Use,300000001,BAG ODOUR BUSTER MULTICAT UN 12KG,,2025,2025,2025,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,
,Stock Location,Stock Qty,,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,
,1710,0,Demand, 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    ,
MAGALIE SENECAL-J.,1715,0,Actuals/PO Scenario, 	-    , 	-    , 	-    ,,,,,,,,,,,,,
Lead Time: 70d,1716,0,Supply,,,, 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    ,
,,Total open po: 0,PO number,,,,,,,,,,,,,,,,
,,,Next Sched Date,,,,-,-,-,-,-,-,-,-,-,-,-,-,
,,,Month end stock,,,,0, 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    , 	-    ,
,,,Safety Stock,0,,,Notes,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Last Line,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
40124257,-,-,-,,,,,,,,,,,,,,,,
Rep: Stephany Robinson,Marque: Nationale,FG on  Hand:,0,Actuals vs Forecast,,,,,,,,,,,,,,,
Status: In-Use,300000002,BAG ODOUR BUSTER MC ENG/SPAN UN 12KG,,2025,2025,2025,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,2026,
,Stock Location,Stock Qty,,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12,
PACK,1710,"50,250",Demand, 	-    , 	-    , 	-    , 	-    ," 	6,400  "," 	4,910  "," 	1,600  "," 	4,910  "," 	1,600  "," 	4,910  "," 	1,600  "," 	4,910  "," 	1,600  "," 	4,910  "," 	3,310  ",
